"round","project","bug_id","seed","budget","tests","coverage","line_cov","branch_cov","total_goals","covered_goals","lines","covered_lines","total_branches","covered_branches","buggy_result","buggy_fails","fixed_result","fixed_fails","verdict"
1,"Closure",163,20260918,60,20,32.01,36.22,27.81,517,215,49,146,178,46,"NOT_RUN","","NOT_RUN","","NOT_AVAILABLE"
1,"Closure",164,20260918,60,27,96.75,100,93.51,166,161,14,89,70,65,"NOT_RUN","","NOT_RUN","","NOT_AVAILABLE"
1,"Closure",165,20260918,60,119,86.24,89.91,82.58,1246,974,154,668,324,208,"NOT_RUN","","NOT_RUN","","NOT_AVAILABLE"
1,"Closure",166,20260918,60,39,79.98,85.84,74.11,416,334,42,188,186,135,"PASS",0,"PASS",0,"NOT_REVEALING"
1,"Closure",167,20260918,60,108,67.05,68.25,65.85,1000,696,133,348,418,276,"NOT_RUN","","NOT_RUN","","NOT_AVAILABLE"
1,"Closure",168,20260918,60,4,14.4,18.88,9.92,1620,239,64,165,730,65,"PASS",0,"PASS",0,"NOT_REVEALING"
1,"Closure",169,20260918,60,271,86.23,90.05,82.67,2408,2010,250,1108,1018,798,"NOT_RUN","","NOT_RUN","","NOT_AVAILABLE"
1,"Closure",16,20260918,60,2,19.77,22.4,17.14,332,67,24,43,128,18,"PASS",0,"PASS",0,"NOT_REVEALING"
1,"Closure",170,20260918,60,4,4.15,5.29,3.01,336,13,21,9,152,1,"PASS",0,"PASS",0,"NOT_REVEALING"
1,"Closure",171,20260918,60,8,5.94,8.14,3.68,3193,207,122,148,1538,50,"PASS",0,"PASS",0,"NOT_REVEALING"
1,"Closure",172,20260918,60,1,0.93,1.61,0.25,1738,17,67,15,792,0,"PASS",0,"PASS",0,"NOT_REVEALING"
1,"Closure",173,20260918,60,33,13.41,15.29,11.6,1912,250,56,143,998,104,"PASS",0,"PASS",0,"NOT_REVEALING"
1,"Closure",174,20260918,60,159,50.81,52.68,49,4203,1588,217,496,2778,1048,"FAIL",3,"FAIL",4,"INCONCLUSIVE"
1,"Closure",175,20260918,60,11,18.03,20.86,14.8,528,90,31,58,234,34,"PASS",0,"PASS",0,"NOT_REVEALING"
1,"Closure",176,20260918,60,8,14.07,6.58,21.44,1523,217,56,48,778,167,"PASS",0,"PASS",0,"NOT_REVEALING"
1,"Closure",17,20260918,60,3,14.3,18.74,9.86,1589,233,64,161,714,63,"PASS",0,"PASS",0,"NOT_REVEALING"
1,"Closure",18,20260918,60,90,50.52,54.29,46.74,1545,782,175,531,456,167,"NOT_RUN","","NOT_RUN","","NOT_AVAILABLE"
1,"Closure",19,20260918,60,41,53.17,55.09,51.25,327,171,80,92,100,51,"PASS",0,"PASS",0,"NOT_REVEALING"
1,"Closure",1,20260918,60,5,13.21,16.71,9.71,698,94,31,65,304,28,"PASS",0,"PASS",0,"NOT_REVEALING"
1,"Closure",20,20260918,60,17,9.51,8.38,10.64,1351,125,52,62,600,63,"FAIL",5,"FAIL",5,"INCONCLUSIVE"
1,"Closure",21,20260918,60,8,64.1,70,58.21,147,93,9,56,62,34,"PASS",0,"PASS",0,"NOT_REVEALING"
1,"Closure",22,20260918,60,8,47.36,52.94,41.77,164,78,9,45,74,29,"PASS",0,"PASS",0,"NOT_REVEALING"
1,"Closure",23,20260918,60,32,13.4,4.54,22.26,1770,273,35,31,1086,241,"PASS",0,"PASS",0,"NOT_REVEALING"
1,"Closure",24,20260918,60,2,22.18,24.54,19.83,279,63,22,40,104,17,"PASS",0,"PASS",0,"NOT_REVEALING"
1,"Closure",25,20260918,60,3,0.99,1.5,0.3,1257,11,47,9,644,2,"PASS",0,"PASS",0,"NOT_REVEALING"
1,"Closure",26,20260918,60,7,56.52,60.95,52.08,153,85,17,64,40,18,"PASS",0,"PASS",0,"NOT_REVEALING"
1,"Closure",27,20260918,60,102,82.81,85.03,80.59,563,450,71,159,324,251,"PASS",0,"FAIL",1,"INCONCLUSIVE"
1,"Closure",28,20260918,60,3,96,92,100,35,33,10,23,2,2,"PASS",0,"FAIL",2,"INCONCLUSIVE"
1,"Closure",29,20260918,60,1,3.17,4.65,1.69,290,9,13,8,114,0,"PASS",0,"PASS",0,"NOT_REVEALING"
1,"Closure",2,20260918,60,11,12.06,6.75,17.05,1806,228,42,51,1042,174,"PASS",0,"PASS",0,"NOT_REVEALING"
1,"Closure",30,20260918,60,5,8.43,11.12,5.44,640,53,41,36,296,9,"PASS",0,"FAIL",1,"INCONCLUSIVE"
1,"Closure",31,20260918,60,91,53.8,59.33,49.26,1498,822,170,566,436,171,"PASS",0,"PASS",0,"NOT_REVEALING"
1,"Closure",32,20260918,60,19,18.69,19.08,18.3,1770,330,68,196,718,119,"PASS",0,"PASS",0,"NOT_REVEALING"
1,"Closure",33,20260918,60,44,85.89,90.23,81.54,410,353,41,194,184,148,"PASS",0,"PASS",0,"NOT_REVEALING"
1,"Closure",34,20260918,60,37,33.9,37.73,30.07,1738,384,84,239,852,125,"PASS",0,"PASS",0,"NOT_REVEALING"
1,"Closure",35,20260918,60,16,17.63,10.81,24.3,1295,228,47,67,662,161,"PASS",0,"PASS",0,"NOT_REVEALING"
1,"Closure",36,20260918,60,3,4.98,6.38,3.57,534,26,32,18,246,7,"PASS",0,"PASS",0,"NOT_REVEALING"
1,"Closure",37,20260918,60,33,44.72,40.89,45.1,1524,516,132,247,636,252,"PASS",0,"PASS",0,"NOT_REVEALING"
1,"Closure",38,20260918,60,6,6.57,2.68,10.47,198,12,32,3,64,9,"PASS",0,"PASS",0,"NOT_REVEALING"
1,"Closure",39,20260918,60,38,81.58,87.75,75.41,387,317,40,179,172,127,"PASS",0,"PASS",0,"NOT_REVEALING"
1,"Closure",3,20260918,60,4,4.26,5.39,3.12,327,13,21,9,146,1,"PASS",0,"PASS",0,"NOT_REVEALING"
1,"Closure",40,20260918,60,7,20.72,24.25,17.19,1209,254,74,169,488,83,"PASS",0,"PASS",0,"NOT_REVEALING"
1,"Closure",41,20260918,60,24,39.58,45.17,33.99,574,229,40,145,240,75,"PASS",0,"PASS",0,"NOT_REVEALING"
1,"Closure",42,20260918,60,6,25.17,15.88,34.46,1155,287,82,94,524,187,"PASS",0,"PASS",0,"NOT_REVEALING"
1,"Closure",43,20260918,60,4,23.3,29.6,17.01,1509,360,64,243,672,107,"PASS",0,"PASS",0,"NOT_REVEALING"
1,"Closure",44,20260918,60,6,6.86,2.75,10.98,191,12,32,3,60,9,"PASS",0,"PASS",0,"NOT_REVEALING"
1,"Closure",45,20260918,60,5,13.96,17.75,10.16,688,99,31,68,300,29,"PASS",0,"PASS",0,"NOT_REVEALING"
1,"Closure",46,20260918,60,19,87.18,92.66,81.71,191,168,10,101,80,65,"PASS",0,"FAIL",2,"INCONCLUSIVE"
1,"Closure",47,20260918,60,10,6.18,8.4,3.94,562,41,60,33,176,3,"PASS",0,"PASS",0,"NOT_REVEALING"
1,"Closure",48,20260918,60,3,24.81,31.44,18.18,1493,379,63,255,666,114,"PASS",0,"PASS",0,"NOT_REVEALING"
1,"Closure",49,20260918,60,21,57.26,59.07,55.15,329,185,39,113,118,57,"PASS",0,"PASS",0,"NOT_REVEALING"
1,"Closure",4,20260918,60,14,65.29,73.28,57.29,227,151,22,96,86,46,"PASS",0,"PASS",0,"NOT_REVEALING"
1,"Closure",50,20260918,60,4,9.36,10.75,7.97,558,53,15,33,248,19,"PASS",0,"PASS",0,"NOT_REVEALING"
1,"Closure",51,20260918,60,4,4.87,1.85,7.89,184,8,31,2,54,6,"PASS",0,"PASS",0,"NOT_REVEALING"
1,"Closure",52,20260918,60,25,16.98,20.44,13.35,1321,207,36,120,720,85,"PASS",0,"FAIL",1,"INCONCLUSIVE"
1,"Closure",53,20260918,60,1,3.19,4.76,1.61,292,9,13,8,120,0,"PASS",0,"PASS",0,"NOT_REVEALING"
1,"Closure",54,20260918,60,70,47.13,51.68,42.91,2140,869,119,526,938,313,"NOT_RUN","","NOT_RUN","","NOT_AVAILABLE"
1,"Closure",55,20260918,60,5,"","","",0,0,0,0,0,0,"PASS",0,"PASS",0,"NOT_REVEALING"
1,"Closure",56,20260918,60,30,96.96,97.87,96.05,217,211,40,138,48,45,"FAIL",2,"FAIL",2,"INCONCLUSIVE"
1,"Closure",57,20260918,60,24,37.68,44.93,30.43,253,97,24,62,102,22,"PASS",0,"PASS",0,"NOT_REVEALING"
1,"Closure",58,20260918,60,17,54.89,53.92,54.88,184,97,20,55,72,36,"PASS",0,"PASS",0,"NOT_REVEALING"
